"county_areas","region","date","month","year","quarter","rate_homicide_con","rate_homicide_uns","rate_offences_against_the_person_con","rate_offences_against_the_person_uns","rate_sexual_offences_con","rate_sexual_offences_uns","rate_burglary_con","rate_burglary_uns","rate_robbery_con","rate_robbery_uns","rate_theft_and_handling_con","rate_theft_and_handling_uns","rate_fraud_and_forgery_con","rate_fraud_and_forgery_uns","rate_criminal_damage_con","rate_criminal_damage_uns","rate_drugs_offences_con","rate_drugs_offences_uns","rate_public_order_offences_con","rate_public_order_offences_uns","rate_all_other_offences_con","rate_all_other_offences_uns","rate_motoring_offences_con","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Suffolk","East of England",2017-11-01,"Nov","2017","Q4_2017",0,0,88.5,11.5,92.3,7.7,100,0,100,0,98.1,1.9,100,0,94.4,5.6,91.8,8.2,92.1,7.9,83.3,16.7,90.9,9.1,100
"Surrey","South East",2017-11-01,"Nov","2017","Q4_2017",0,0,80.6,19.4,78.9,21.1,90,10,100,0,97,3,75,25,94.7,5.3,94.7,5.3,92.6,7.4,100,0,86.8,13.2,100
"Sussex","South East",2017-11-01,"Nov","2017","Q4_2017",0,0,77.4,22.6,66.7,33.3,93.9,6.1,71.4,28.6,90.7,9.3,78.6,21.4,82.9,17.1,87.7,12.3,85.7,14.3,93.8,6.3,89.8,10.2,100
"Thames Valley","Thames and Chiltern",2017-11-01,"Nov","2017","Q4_2017",0,0,80.5,19.5,73.8,26.2,89.7,10.3,68.8,31.3,91.4,8.6,80,20,89.1,10.9,94.5,5.5,82.8,17.2,88.9,11.1,86.5,13.5,100
"Warwickshire","West Midlands",2017-11-01,"Nov","2017","Q4_2017",100,0,72,28,69.2,30.8,90.9,9.1,100,0,100,0,100,0,100,0,100,0,87,13,100,0,85.5,14.5,100
"West Mercia","West Midlands",2017-11-01,"Nov","2017","Q4_2017",50,50,79.8,20.2,65.2,34.8,87,13,40,60,93.7,6.3,94.7,5.3,84.4,15.6,92,8,91.4,8.6,77.8,22.2,85.3,14.7,100
"West Midlands","West Midlands",2017-11-01,"Nov","2017","Q4_2017",100,0,82.4,17.6,80.5,19.5,89.6,10.4,91.7,8.3,93.3,6.7,88.3,11.7,87.5,12.5,93.6,6.4,84.2,15.8,91.3,8.7,90.3,9.7,100
"West Yorkshire","Yorkshire and Humberside",2017-11-01,"Nov","2017","Q4_2017",83.3,16.7,75,25,69.8,30.2,94.7,5.3,96,4,94.4,5.6,88.9,11.1,88.3,11.7,93.7,6.3,90.4,9.6,81,19,88.1,11.9,100
"Wiltshire","Oxfordshire",2017-11-01,"Nov","2017","Q4_2017",100,0,82.2,17.8,75,25,80,20,100,0,95.4,4.6,88.9,11.1,85,15,100,0,82.1,17.9,60,40,93.1,6.9,100
"Avon and Somerset","South West",2017-12-01,"Dec","2017","Q4_2017",0,0,83.9,16.1,80,20,83.9,16.1,87.5,12.5,94.7,5.3,100,0,92.7,7.3,95.3,4.7,83.1,16.9,76.9,23.1,94.5,5.5,100
"Bedfordshire","Thames and Chiltern",2017-12-01,"Dec","2017","Q4_2017",0,0,75.5,24.5,100,0,90,10,100,0,84.3,15.7,80,20,76.5,23.5,100,0,89.5,10.5,50,50,84.1,15.9,100
"Cambridgeshire","East of England",2017-12-01,"Dec","2017","Q4_2017",0,0,81.6,18.4,77.8,22.2,78.6,21.4,0,100,95,5,90.9,9.1,92.3,7.7,88.5,11.5,90,10,60,40,95.5,4.5,100
"Cheshire","Mersey-Cheshire",2017-12-01,"Dec","2017","Q4_2017",50,50,80.5,19.5,75.9,24.1,85.7,14.3,100,0,92.6,7.4,87.5,12.5,93.2,6.8,92.4,7.6,85.6,14.4,100,0,84.8,15.2,100
"Cleveland","North East",2017-12-01,"Dec","2017","Q4_2017",0,0,74.6,25.4,83.3,16.7,88.6,11.4,100,0,94.3,5.7,91.7,8.3,100,0,96.7,3.3,89.1,10.9,100,0,80.6,19.4,100
"Cumbria","North West",2017-12-01,"Dec","2017","Q4_2017",100,0,87.1,12.9,100,0,100,0,50,50,95.2,4.8,71.4,28.6,78.6,21.4,100,0,92.1,7.9,100,0,91.7,8.3,100
"Derbyshire","East Midlands",2017-12-01,"Dec","2017","Q4_2017",100,0,82.2,17.8,88.9,11.1,100,0,100,0,89.6,10.4,100,0,75,25,95.5,4.5,81.5,18.5,51.6,48.4,82.8,17.2,100
"Devon and Cornwall","South West",2017-12-01,"Dec","2017","Q4_2017",100,0,84,16,100,0,100,0,60,40,95.1,4.9,83.3,16.7,94.1,5.9,88.4,11.6,78.6,21.4,100,0,87.3,12.7,100
"Dorset","Oxfordshire",2017-12-01,"Dec","2017","Q4_2017",0,0,89.8,10.2,62.5,37.5,92.3,7.7,100,0,96,4,100,0,78.9,21.1,97.2,2.8,71,29,80,20,93.6,6.4,100
"Durham","North East",2017-12-01,"Dec","2017","Q4_2017",100,0,79.4,20.6,100,0,85.7,14.3,100,0,88.9,11.1,100,0,86.4,13.6,100,0,96.3,3.7,100,0,95.1,4.9,100
"Dyfed Powys","Cymru/Wales",2017-12-01,"Dec","2017","Q4_2017",0,0,80.8,19.2,90,10,80,20,0,0,82.8,17.2,100,0,100,0,100,0,84.2,15.8,75,25,92,8,100
"Essex","East of England",2017-12-01,"Dec","2017","Q4_2017",100,0,79.1,20.9,74.4,25.6,96.8,3.2,100,0,96.5,3.5,82.8,17.2,78.8,21.2,93.8,6.2,87.7,12.3,81.8,18.2,82.5,17.5,100
"Gloucestershire","South West",2017-12-01,"Dec","2017","Q4_2017",100,0,90.5,9.5,100,0,100,0,100,0,97.4,2.6,60,40,100,0,100,0,100,0,80,20,88.4,11.6,100
"GreaterManchester","North West",2017-12-01,"Dec","2017","Q4_2017",90,10,84,16,75,25,100,0,81.8,18.2,94.4,5.6,69.2,30.8,95.7,4.3,95.7,4.3,88.9,11.1,89.7,10.3,91.8,8.2,100
"Gwent","Cymru/Wales",2017-12-01,"Dec","2017","Q4_2017",100,0,80,20,75,25,75,25,60,40,97.7,2.3,80,20,68.4,31.6,92,8,100,0,66.7,33.3,88.7,11.3,100
"Hampshire","Oxfordshire",2017-12-01,"Dec","2017","Q4_2017",100,0,83,17,74.1,25.9,87.1,12.9,87.5,12.5,93.4,6.6,97.2,2.8,84,16,91,9,94.7,5.3,100,0,88.6,11.4,100
"Hertfordshire","Thames and Chiltern",2017-12-01,"Dec","2017","Q4_2017",85.7,14.3,81.8,18.2,85.7,14.3,100,0,100,0,88.4,11.6,94.4,5.6,73.3,26.7,89.1,10.9,86.5,13.5,80,20,78.7,21.3,100
"Humberside","Yorkshire and Humberside",2017-12-01,"Dec","2017","Q4_2017",50,50,83.3,16.7,75,25,88.5,11.5,50,50,95.3,4.7,92.6,7.4,72.2,27.8,97,3,95.3,4.7,76.9,23.1,88.9,11.1,100
"Kent","South East",2017-12-01,"Dec","2017","Q4_2017",0,0,75.4,24.6,76.2,23.8,73.7,26.3,66.7,33.3,91.4,8.6,87.9,12.1,88.6,11.4,87.8,12.2,83.3,16.7,95.5,4.5,90.8,9.2,100
"Lancashire","North West",2017-12-01,"Dec","2017","Q4_2017",0,100,78.8,21.2,91.7,8.3,92.9,7.1,83.3,16.7,94.3,5.7,82.1,17.9,88.1,11.9,95.5,4.5,88.1,11.9,100,0,82.8,17.2,100
"Leicestershire","East Midlands",2017-12-01,"Dec","2017","Q4_2017",50,50,80.9,19.1,67.9,32.1,90.5,9.5,100,0,94.6,5.4,81.3,18.8,84.6,15.4,93.1,6.9,88.1,11.9,81.8,18.2,83.2,16.8,100
"Lincolnshire","East Midlands",2017-12-01,"Dec","2017","Q4_2017",100,0,82.4,17.6,100,0,100,0,100,0,92.9,7.1,100,0,80,20,100,0,85,15,100,0,82.3,17.7,100
"Merseyside","Mersey-Cheshire",2017-12-01,"Dec","2017","Q4_2017",100,0,76.9,23.1,76.7,23.3,100,0,100,0,93.9,6.1,96,4,71.4,28.6,95.3,4.7,79.2,20.8,85.7,14.3,84.7,15.3,100
"Metropolitan and City","Greater London",2017-12-01,"Dec","2017","Q4_2017",60,40,71.6,28.4,70.7,29.3,87.6,12.4,74.7,25.3,89.3,10.7,84.9,15.1,76.7,23.3,91.8,8.2,80.1,19.9,88.7,11.3,79.8,20.2,100
"Norfolk","East of England",2017-12-01,"Dec","2017","Q4_2017",100,0,85.6,14.4,93.3,6.7,66.7,33.3,50,50,94.3,5.7,83.3,16.7,88.2,11.8,95.3,4.7,93.2,6.8,100,0,95.9,4.1,100
"Northamptonshire","East Midlands",2017-12-01,"Dec","2017","Q4_2017",66.7,33.3,84.7,15.3,100,0,75,25,80,20,87,13,75,25,87.5,12.5,90.5,9.5,96.2,3.8,82.4,17.6,84.3,15.7,100
"Northumbria","North East",2017-12-01,"Dec","2017","Q4_2017",100,0,72.8,27.2,67.3,32.7,93.6,6.4,66.7,33.3,90.3,9.7,81,19,82.5,17.5,90.9,9.1,87.2,12.8,83.3,16.7,86,14,100
"North Wales","Cymru/Wales",2017-12-01,"Dec","2017","Q4_2017",100,0,83.8,16.3,64.3,35.7,100,0,50,50,96.5,3.5,100,0,93.8,6.3,94.1,5.9,92.3,7.7,66.7,33.3,88.2,11.8,100
"North Yorkshire","Yorkshire and Humberside",2017-12-01,"Dec","2017","Q4_2017",0,0,79,21,100,0,87.5,12.5,66.7,33.3,89.9,10.1,100,0,87.5,12.5,100,0,82.4,17.6,73.7,26.3,93.3,6.7,100
"Nottinghamshire","East Midlands",2017-12-01,"Dec","2017","Q4_2017",100,0,75.8,24.2,69.4,30.6,88.5,11.5,86.7,13.3,96.8,3.2,77.3,22.7,89.5,10.5,87,13,91.8,8.2,81.8,18.2,92.2,7.8,100
"South Wales","Cymru/Wales",2017-12-01,"Dec","2017","Q4_2017",100,0,76.1,23.9,83.3,16.7,94.1,5.9,72.7,27.3,92.2,7.8,84.6,15.4,87.3,12.7,93.5,6.5,93.5,6.5,100,0,87.1,12.9,100
"South Yorkshire","Yorkshire and Humberside",2017-12-01,"Dec","2017","Q4_2017",0,0,79.7,20.3,80,20,78,22,66.7,33.3,94.5,5.5,93.8,6.3,89.8,10.2,92.9,7.1,81.8,18.2,100,0,75.9,24.1,100
"Staffordshire","West Midlands",2017-12-01,"Dec","2017","Q4_2017",100,0,78.4,21.6,82.4,17.6,88.2,11.8,66.7,33.3,90.7,9.3,78.6,21.4,79.5,20.5,90.2,9.8,94.3,5.7,93.3,6.7,90.2,9.8,100
"Suffolk","East of England",2017-12-01,"Dec","2017","Q4_2017",0,0,88.9,11.1,83.3,16.7,100,0,100,0,91.5,8.5,50,50,100,0,97.4,2.6,90.6,9.4,100,0,94.9,5.1,100
"Surrey","South East",2017-12-01,"Dec","2017","Q4_2017",0,0,84.9,15.1,83.3,16.7,66.7,33.3,100,0,88.4,11.6,85.7,14.3,87.5,12.5,97.3,2.7,90,10,66.7,33.3,92.2,7.8,100
"Sussex","South East",2017-12-01,"Dec","2017","Q4_2017",0,0,85.6,14.4,65.5,34.5,91.7,8.3,90.9,9.1,96.4,3.6,81.3,18.8,85.7,14.3,96.2,3.8,86.4,13.6,92.3,7.7,89.6,10.4,100
"Thames Valley","Thames and Chiltern",2017-12-01,"Dec","2017","Q4_2017",50,50,78.6,21.4,73.3,26.7,87.9,12.1,85.7,14.3,91.1,8.9,84.6,15.4,78.7,21.3,93.9,6.1,85,15,94.1,5.9,90.5,9.5,100
"Warwickshire","West Midlands",2017-12-01,"Dec","2017","Q4_2017",50,50,80.3,19.7,54.5,45.5,100,0,0,100,90.7,9.3,100,0,100,0,100,0,81,19,0,100,87,13,100
"West Mercia","West Midlands",2017-12-01,"Dec","2017","Q4_2017",0,100,81.8,18.2,82.6,17.4,75,25,57.1,42.9,95.4,4.6,100,0,88,12,100,0,94.6,5.4,87.5,12.5,89,11,100
"West Midlands","West Midlands",2017-12-01,"Dec","2017","Q4_2017",100,0,79.8,20.2,66.2,33.8,83.7,16.3,83,17,90.7,9.3,91.8,8.2,78.8,21.3,95.3,4.7,89.2,10.8,82.6,17.4,88,12,100
"West Yorkshire","Yorkshire and Humberside",2017-12-01,"Dec","2017","Q4_2017",100,0,83.7,16.3,73.6,26.4,96.3,3.7,84.2,15.8,90,10,80.8,19.2,83.5,16.5,92.3,7.7,86.3,13.7,93.6,6.4,86.1,13.9,100
"Wiltshire","Oxfordshire",2017-12-01,"Dec","2017","Q4_2017",50,50,87.1,12.9,60,40,100,0,0,0,98.5,1.5,100,0,84.2,15.8,96.4,3.6,91.3,8.7,100,0,93.8,6.3,100
"Avon and Somerset","South West",2018-01-01,"Jan","2018","Q1_2018",50,50,83.6,16.4,79.6,20.4,76.9,23.1,71.4,28.6,91.4,8.6,100,0,86.8,13.2,92.6,7.4,88.3,11.7,100,0,89.1,10.9,100
"Bedfordshire","Thames and Chiltern",2018-01-01,"Jan","2018","Q1_2018",0,100,78.3,21.7,83.3,16.7,92.3,7.7,66.7,33.3,93.1,6.9,83.3,16.7,84.6,15.4,96.9,3.1,85.2,14.8,83.3,16.7,75.2,24.8,100
"Cambridgeshire","East of England",2018-01-01,"Jan","2018","Q1_2018",100,0,76.2,23.8,100,0,82.4,17.6,100,0,91.7,8.3,86.7,13.3,81.3,18.8,100,0,77.1,22.9,28.6,71.4,85.3,14.7,100
"Cheshire","Mersey-Cheshire",2018-01-01,"Jan","2018","Q1_2018",100,0,82.6,17.4,83.9,16.1,100,0,100,0,92,8,88,12,84.4,15.6,95.8,4.2,96.3,3.7,100,0,89.4,10.6,100
"Cleveland","North East",2018-01-01,"Jan","2018","Q1_2018",100,0,76.5,23.5,85.7,14.3,79.4,20.6,50,50,97,3,100,0,88.2,11.8,90.2,9.8,85.7,14.3,100,0,93.4,6.6,100
"Cumbria","North West",2018-01-01,"Jan","2018","Q1_2018",100,0,91.8,8.2,100,0,86.7,13.3,0,0,93.8,6.2,100,0,90,10,100,0,95.3,4.7,100,0,92.4,7.6,100
"Derbyshire","East Midlands",2018-01-01,"Jan","2018","Q1_2018",0,0,76.2,23.8,70,30,73.7,26.3,50,50,89,11,95.8,4.2,78.8,21.2,94.8,5.2,84.4,15.6,90.5,9.5,92.4,7.6,100
"Devon and Cornwall","South West",2018-01-01,"Jan","2018","Q1_2018",100,0,88.4,11.6,100,0,100,0,90,10,92.9,7.1,77.8,22.2,94.6,5.4,97.8,2.2,93,7,100,0,91.1,8.9,100
"Dorset","Oxfordshire",2018-01-01,"Jan","2018","Q1_2018",100,0,84.8,15.2,84.2,15.8,85,15,100,0,95.9,4.1,100,0,88,12,95.7,4.3,76.7,23.3,100,0,93.3,6.7,100
"Durham","North East",2018-01-01,"Jan","2018","Q1_2018",100,0,83.7,16.3,100,0,84,16,75,25,91.2,8.8,81.8,18.2,82.1,17.9,90.9,9.1,82.1,17.9,77.8,22.2,96.8,3.2,100
"Dyfed Powys","Cymru/Wales",2018-01-01,"Jan","2018","Q1_2018",0,0,86.5,13.5,72.7,27.3,100,0,0,0,98.5,1.5,100,0,94.4,5.6,96.2,3.8,87.1,12.9,100,0,88.7,11.3,100
"Essex","East of England",2018-01-01,"Jan","2018","Q1_2018",100,0,79,21,73.2,26.8,100,0,55.6,44.4,93.4,6.6,83.3,16.7,86.4,13.6,92.1,7.9,82.1,17.9,88.2,11.8,82.5,17.5,100
"Gloucestershire","South West",2018-01-01,"Jan","2018","Q1_2018",100,0,87.3,12.7,100,0,71.4,28.6,100,0,90.5,9.5,85.7,14.3,100,0,95.7,4.3,82.6,17.4,100,0,92.6,7.4,100
"GreaterManchester","North West",2018-01-01,"Jan","2018","Q1_2018",75,25,87.2,12.8,70,30,82.7,17.3,96,4,94.8,5.2,91.4,8.6,92.4,7.6,93.3,6.7,89.7,10.3,93.8,6.3,84.7,15.3,100
"Gwent","Cymru/Wales",2018-01-01,"Jan","2018","Q1_2018",0,0,75.3,24.7,75,25,53.8,46.2,100,0,92.9,7.1,100,0,86.2,13.8,93.6,6.4,86.8,13.2,100,0,89.7,10.3,100
"Hampshire","Oxfordshire",2018-01-01,"Jan","2018","Q1_2018",75,25,83.7,16.3,82.9,17.1,91.7,8.3,92.9,7.1,95,5,78.8,21.2,84.1,15.9,94.4,5.6,91.1,8.9,76.2,23.8,90.4,9.6,100
"Hertfordshire","Thames and Chiltern",2018-01-01,"Jan","2018","Q1_2018",0,0,80.3,19.7,88.9,11.1,84.6,15.4,76.9,23.1,92.1,7.9,86.4,13.6,83.9,16.1,97.8,2.2,85.7,14.3,100,0,84.8,15.2,100
"Humberside","Yorkshire and Humberside",2018-01-01,"Jan","2018","Q1_2018",100,0,82.1,17.9,100,0,85.7,14.3,83.3,16.7,91.5,8.5,100,0,93.5,6.5,97.5,2.5,86.8,13.2,91.7,8.3,91.7,8.3,100
"Kent","South East",2018-01-01,"Jan","2018","Q1_2018",62.5,37.5,79.7,20.3,80.8,19.2,78.8,21.2,75,25,90.8,9.2,83.3,16.7,80.6,19.4,94.1,5.9,85,15,91.3,8.7,89.8,10.2,100
"Lancashire","North West",2018-01-01,"Jan","2018","Q1_2018",66.7,33.3,81.7,18.3,92.9,7.1,85.7,14.3,77.3,22.7,91.3,8.7,86.2,13.8,92.4,7.6,91.2,8.8,87.4,12.6,96,4,87.5,12.5,100
"Leicestershire","East Midlands",2018-01-01,"Jan","2018","Q1_2018",100,0,79.5,20.5,68.4,31.6,93.8,6.3,100,0,91.1,8.9,93.3,6.7,87.8,12.2,95.5,4.5,93.4,6.6,88.9,11.1,81.7,18.3,100
"Lincolnshire","East Midlands",2018-01-01,"Jan","2018","Q1_2018",100,0,86.1,13.9,83.3,16.7,84,16,50,50,96.3,3.7,100,0,91.3,8.7,96,4,85.7,14.3,78.3,21.7,82,18,100
"Merseyside","Mersey-Cheshire",2018-01-01,"Jan","2018","Q1_2018",100,0,82.3,17.7,62.1,37.9,91.7,8.3,66.7,33.3,96.1,3.9,91.2,8.8,93,7,94.5,5.5,90.9,9.1,84.2,15.8,89.7,10.3,100
"Metropolitan and City","Greater London",2018-01-01,"Jan","2018","Q1_2018",56,44,69.7,30.3,64.5,35.5,83.3,16.7,80.6,19.4,82.7,17.3,81,19,78.4,21.6,91.6,8.4,73.7,26.3,89.3,10.7,76.5,23.5,100
"Norfolk","East of England",2018-01-01,"Jan","2018","Q1_2018",100,0,84.8,15.2,81.3,18.8,90.9,9.1,100,0,95.2,4.8,100,0,92.2,7.8,94.2,5.8,92.4,7.6,83.3,16.7,90.1,9.9,100
"Northamptonshire","East Midlands",2018-01-01,"Jan","2018","Q1_2018",0,0,81.8,18.2,100,0,89.5,10.5,100,0,96.9,3.1,90,10,90,10,97.1,2.9,90.9,9.1,100,0,91.3,8.7,100
"Northumbria","North East",2018-01-01,"Jan","2018","Q1_2018",50,50,78.7,21.3,77.8,22.2,80,20,100,0,91.6,8.4,94.1,5.9,72.2,27.8,97.4,2.6,82.5,17.5,90,10,91.9,8.1,100
"North Wales","Cymru/Wales",2018-01-01,"Jan","2018","Q1_2018",50,50,84.2,15.8,87,13,87.5,12.5,50,50,95.9,4.1,100,0,90.2,9.8,100,0,93.2,6.8,88.9,11.1,88.1,11.9,100
"North Yorkshire","Yorkshire and Humberside",2018-01-01,"Jan","2018","Q1_2018",0,0,84.9,15.1,75,25,80,20,100,0,93.3,6.7,100,0,91.3,8.7,81.8,18.2,90,10,100,0,96.7,3.3,100
"Nottinghamshire","East Midlands",2018-01-01,"Jan","2018","Q1_2018",75,25,77.8,22.2,84.4,15.6,92.3,7.7,90,10,93.8,6.3,88.9,11.1,82.1,17.9,91.7,8.3,87.4,12.6,93.1,6.9,89.3,10.7,100
"South Wales","Cymru/Wales",2018-01-01,"Jan","2018","Q1_2018",0,0,76.8,23.2,61.5,38.5,77.8,22.2,71.4,28.6,96,4,94.3,5.7,81.1,18.9,95.5,4.5,85.3,14.7,93.9,6.1,89.7,10.3,100
"South Yorkshire","Yorkshire and Humberside",2018-01-01,"Jan","2018","Q1_2018",50,50,78.3,21.7,91.7,8.3,89.6,10.4,60,40,97.3,2.7,87.5,12.5,95.3,4.7,92.2,7.8,90.5,9.5,87,13,87.1,12.9,100
"Staffordshire","West Midlands",2018-01-01,"Jan","2018","Q1_2018",0,0,78.2,21.8,67.7,32.3,80,20,50,50,92.1,7.9,83.3,16.7,85.1,14.9,93.8,6.3,94.2,5.8,95,5,85.4,14.6,100
"Suffolk","East of England",2018-01-01,"Jan","2018","Q1_2018",100,0,87.5,12.5,100,0,100,0,100,0,97.3,2.7,85.7,14.3,92,8,95.9,4.1,88.1,11.9,78.6,21.4,91.5,8.5,100
"Surrey","South East",2018-01-01,"Jan","2018","Q1_2018",0,100,80,20,71.4,28.6,100,0,0,0,91.9,8.1,100,0,94.1,5.9,93.3,6.7,95,5,100,0,93.2,6.8,100
"Sussex","South East",2018-01-01,"Jan","2018","Q1_2018",0,100,74.4,25.6,71.1,28.9,100,0,75,25,96.9,3.1,100,0,90.3,9.7,96.6,3.4,91.1,8.9,100,0,87.7,12.3,100
"Thames Valley","Thames and Chiltern",2018-01-01,"Jan","2018","Q1_2018",66.7,33.3,77.8,22.2,69.7,30.3,89.5,10.5,83.3,16.7,92.3,7.7,86.4,13.6,81.4,18.6,95.8,4.2,90.7,9.3,91.7,8.3,91.4,8.6,100
"Warwickshire","West Midlands",2018-01-01,"Jan","2018","Q1_2018",0,0,81.2,18.8,58.3,41.7,77.8,22.2,0,100,92,8,88.9,11.1,80,20,100,0,78.9,21.1,66.7,33.3,79.1,20.9,100
"West Mercia","West Midlands",2018-01-01,"Jan","2018","Q1_2018",100,0,80.6,19.4,62.5,37.5,73.7,26.3,66.7,33.3,90.6,9.4,81,19,88.9,11.1,97,3,97.1,2.9,94.1,5.9,89.3,10.7,100
"West Midlands","West Midlands",2018-01-01,"Jan","2018","Q1_2018",92.3,7.7,79.2,20.8,80.6,19.4,87.2,12.8,78.5,21.5,90.4,9.6,83.1,16.9,90.7,9.3,93,7,87.9,12.1,84.1,15.9,85.9,14.1,100
"West Yorkshire","Yorkshire and Humberside",2018-01-01,"Jan","2018","Q1_2018",77.8,22.2,82.3,17.7,76.5,23.5,89.7,10.3,80,20,96.1,3.9,97,3,92.9,7.1,93.5,6.5,94.3,5.7,85.3,14.7,89.8,10.2,100
"Wiltshire","Oxfordshire",2018-01-01,"Jan","2018","Q1_2018",0,0,85.6,14.4,83.3,16.7,100,0,100,0,96.8,3.2,100,0,88,12,100,0,80,20,100,0,97.3,2.7,100
"Avon and Somerset","South West",2018-02-01,"Feb","2018","Q1_2018",100,0,79.2,20.8,75,25,87.5,12.5,33.3,66.7,91.2,8.8,93.8,6.3,77.6,22.4,92.3,7.7,88.7,11.3,100,0,87.6,12.4,100
"Bedfordshire","Thames and Chiltern",2018-02-01,"Feb","2018","Q1_2018",0,0,65.4,34.6,83.3,16.7,100,0,90,10,90.7,9.3,87.5,12.5,100,0,100,0,92.6,7.4,100,0,76.7,23.3,100
"Cambridgeshire","East of England",2018-02-01,"Feb","2018","Q1_2018",100,0,77.3,22.7,88.9,11.1,88.9,11.1,100,0,97.1,2.9,87.5,12.5,95,5,93.3,6.7,75,25,100,0,91.1,8.9,100
"Cheshire","Mersey-Cheshire",2018-02-01,"Feb","2018","Q1_2018",0,0,81.6,18.4,69.2,30.8,91.7,8.3,50,50,93.8,6.2,88.9,11.1,85.7,14.3,91.2,8.8,96.9,3.1,93.8,6.3,84.5,15.5,100
"Cleveland","North East",2018-02-01,"Feb","2018","Q1_2018",0,0,83.1,16.9,72.7,27.3,95.3,4.7,76.5,23.5,97.3,2.7,93.8,6.3,84.8,15.2,94.5,5.5,85.4,14.6,71.4,28.6,86.7,13.3,100
"Cumbria","North West",2018-02-01,"Feb","2018","Q1_2018",0,0,88.6,11.4,100,0,76.9,23.1,100,0,98.7,1.3,92.9,7.1,92.9,7.1,90.3,9.7,97.3,2.7,100,0,89.7,10.3,100
"Derbyshire","East Midlands",2018-02-01,"Feb","2018","Q1_2018",100,0,85.8,14.2,85.7,14.3,73.7,26.3,50,50,97.7,2.3,78.6,21.4,84.2,15.8,87.5,12.5,91.8,8.2,92.3,7.7,82.3,17.7,100
"Devon and Cornwall","South West",2018-02-01,"Feb","2018","Q1_2018",100,0,88.6,11.4,100,0,100,0,80,20,95.2,4.8,70.6,29.4,89.7,10.3,93.7,6.3,91.8,8.2,100,0,92.6,7.4,100
"Dorset","Oxfordshire",2018-02-01,"Feb","2018","Q1_2018",0,0,88.7,11.3,80,20,85.7,14.3,0,0,97,3,100,0,92.3,7.7,97.8,2.2,91.9,8.1,92.9,7.1,92.4,7.6,100
"Durham","North East",2018-02-01,"Feb","2018","Q1_2018",0,0,81.7,18.3,100,0,93.3,6.7,50,50,94.9,5.1,92.3,7.7,81,19,100,0,90.3,9.7,62.5,37.5,92.2,7.8,100
"Dyfed Powys","Cymru/Wales",2018-02-01,"Feb","2018","Q1_2018",0,0,92.5,7.5,62.5,37.5,100,0,100,0,100,0,100,0,86.7,13.3,98.4,1.6,80,20,100,0,91.2,8.8,100
"Essex","East of England",2018-02-01,"Feb","2018","Q1_2018",100,0,77.9,22.1,66.7,33.3,96.4,3.6,90,10,93.3,6.7,93.8,6.3,90,10,91.7,8.3,85.5,14.5,66.7,33.3,77.5,22.5,100
"Gloucestershire","South West",2018-02-01,"Feb","2018","Q1_2018",0,0,78.2,21.8,100,0,92.3,7.7,0,100,95.7,4.3,100,0,85,15,90.3,9.7,88.2,11.8,100,0,91.3,8.7,100
"GreaterManchester","North West",2018-02-01,"Feb","2018","Q1_2018",87.5,12.5,83.8,16.2,74.4,25.6,83.3,16.7,90,10,94.1,5.9,90.9,9.1,91.8,8.2,89,11,85,15,90.6,9.4,79.9,20.1,100
"Gwent","Cymru/Wales",2018-02-01,"Feb","2018","Q1_2018",100,0,82.5,17.5,83.3,16.7,87.5,12.5,50,50,92.2,7.8,100,0,78.9,21.1,95,5,86.7,13.3,80,20,81.4,18.6,100
"Hampshire","Oxfordshire",2018-02-01,"Feb","2018","Q1_2018",100,0,82.4,17.6,93.1,6.9,85.7,14.3,100,0,94.9,5.1,94.7,5.3,93.6,6.4,94.3,5.7,88.3,11.7,100,0,88.9,11.1,100
"Hertfordshire","Thames and Chiltern",2018-02-01,"Feb","2018","Q1_2018",0,0,81.8,18.2,100,0,87.5,12.5,83.3,16.7,90.1,9.9,84.2,15.8,73.9,26.1,88.9,11.1,86.1,13.9,100,0,77.5,22.5,100
"Humberside","Yorkshire and Humberside",2018-02-01,"Feb","2018","Q1_2018",100,0,85.5,14.5,60,40,94.3,5.7,100,0,91.1,8.9,100,0,87,13,100,0,91.2,8.8,100,0,95.4,4.6,100
"Kent","South East",2018-02-01,"Feb","2018","Q1_2018",100,0,81.2,18.8,82.4,17.6,80,20,100,0,96.2,3.8,84.4,15.6,89.4,10.6,94.3,5.7,84.3,15.7,73.3,26.7,88,12,100
"Lancashire","North West",2018-02-01,"Feb","2018","Q1_2018",100,0,81.9,18.1,90.9,9.1,91.9,8.1,73.7,26.3,95.6,4.4,89.5,10.5,92.5,7.5,94.1,5.9,88.4,11.6,82.6,17.4,83.5,16.5,100
"Leicestershire","East Midlands",2018-02-01,"Feb","2018","Q1_2018",83.3,16.7,81.1,18.9,78.1,21.9,95,5,87.5,12.5,95.1,4.9,100,0,77.4,22.6,87.8,12.2,85.2,14.8,80,20,83.8,16.2,100
"Lincolnshire","East Midlands",2018-02-01,"Feb","2018","Q1_2018",100,0,77.4,22.6,100,0,90.9,9.1,100,0,94.8,5.2,100,0,90.5,9.5,91.7,8.3,86,14,95.2,4.8,84.6,15.4,100
"Merseyside","Mersey-Cheshire",2018-02-01,"Feb","2018","Q1_2018",85.7,14.3,79.5,20.5,73.1,26.9,96.3,3.7,91.7,8.3,94.1,5.9,90,10,83.9,16.1,95.9,4.1,90.7,9.3,75,25,86,14,100
